source_file,table_no,Unnamed: 0,Unnamed: 1,Unnamed: 2,Date of,Loss,Unnamed: 3,Reported,Closed,Indemnity,Indemnity.1,Ind,Unnamed: 4,Exp,Unnamed: 5,Incurred
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,Claim #,Claimant,Loss Type,Loss,State,Status,Date,Date,BI/Med,PD/LT,Reserve,Exp Paid,Res,Total Paid,Total
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,1510124290,,AUTO PHYSICAL,03/17/2018,MA,Closed,03/19/2018,05/08/2018,$0.00,"$25,897.00",$0.00,$181.85,$0.00,"$26,078.85","$16,108.9"
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,,,DAMAGE,,,,,,,,,,,,5
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,Acc,Auto: all other collision loss not otherwise listed,,,,,,,,,,,,,
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,Description,,,,,,,,,,,,,,
Zurich Loss Run - Beau Geste XXV LLC - AL BAP-0141914 vao 1.7.25.PDF,4,4510143725,,AUTO LIABILITY,03/17/2018,MA,Closed,03/19/2018,04/10/2018,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
