Pol Year,Status,Claim Count,Paid,Incurred,
2010,Closed,7,"$12,365.48","$11,791.20",
2011,,,,,(no claims this period)
2012,Closed,4,$746.88,$746.88,
2013,,,,,(no claims this period)
2014,,,,,(no claims this period)
2015,,,,,(no claims this period)
2016,,,,,(no claims this period)
2017,,,,,(no claims this period)
