Pol Year,Status,Claim Count,Paid,Incurred,
2010,Closed,7,"$144,647.97","$144,647.97",
2011,Closed,4,"$69,004.42","$69,004.42",
2012,Closed,6,"$1,302,337.60","$1,302,337.60",
2013,Closed,8,"$14,948.17","$14,948.17",
2014,Closed,12,"$2,726.75","$2,726.75",
2015,Closed,6,"$5,771.57","$5,771.57",
2016,Closed,1,$95.00,$95.00,
2017,,,,,(no claims this period)
